CINEMA DE LA VIOUZE,1,347,63004
PALACE 1,2,520,27016
REX,1,219,33005
NORMANDIE,1,250,28007
GAUMONT VARIETES 1,5,1415,49007
LES 400 COUPS 1,7,886,49007
GAUMONT 1,12,2522,49007
LE CASTEILL,1,197,66004
MONCINE 1,7,1095,64024
SALLE NEMO,2,294,16015
MEGA CGR 1,11,1876,16015
IDEAL CINEMA,1,206,59008
DECAVISION 1,10,1839,74010
NEMOURS 1,4,448,74010
MJC NOVEL,1,174,74010
ESPACE 300,2,1188,74010
CINE ACTUEL MJC,1,117,74012
SALEVE 1,2,475,74012
NACELLES 1,4,552,7010
SALLE DE CINEMA,1,120,71009
CASINO 1,3,456,6004
SELECT L DAQU,1,225,92002
CESAR 1,3,415,84003
CHOUCA 1,2,352,74014
GRAND ECRAN 1,3,519,33009
GAUMONT 1,11,2679,74016
JEAN VILAR 1,2,328,94003
MEGARAMA 1,6,781,94003
VOX,1,360,66008
CINEMA JAURES,1,234,66008
CASINO,1,288,65025
NORMANDY 1,3,534,61006
LE TURENNE,1,187,19010
JEAN GABIN (EX-GALILEE 1),1,128,95018
LE FIGUIER BLANC 1 (EX-GALILEE 2),3,826,95018
L'EAU VIVE,1,159,5006
COMMYNES,1,250,79013
EDEN PALACE,1,187,36006
CIN ' EVASION,1,158,35006
MODERN' CINEMA,1,126,18011
FEMINA 1,3,470,13004
ACTES SUD 1,3,297,13004
STARS 5,5,829,91021
CINEMOVIDA 2 (EX-PALACE 2),6,679,62041
L'UNION,1,194,57032
CINEMOBILE NORD,1,100,45008
ST MICHEL,1,200,64062
LA LOCOMOTIVE ATLANTIC,2,246,56005
L'ALCAZAR 1,4,646,92004
SALLE D ANIMATION,1,150,53012
CINEMA VENTURA,1,175,91027
PAGNOL 1,4,579,13005
PALACE 1,5,721,13005
PALACE 1 (EX CLUB),4,590,7019
LE NAVIRE SALLE 1,2,175,7019
PAUL GRIMAULT,1,169,78029
STUDIO,1,127,93001
CINE DOME 1,14,2739,63014
LE CARFOUR,1,238,85008
ATOMIC 1,1,163,18015
COLBERT 1,2,379,23008
JEAN MARAIS,1,188,31022
CINE 32 1,5,820,32013
LOUIS ARAGON,1,492,62048
CINE GOYEN,1,516,29003
CINE AUDUN,1,134,57038
SALLE POLYVALENTE,1,150,63016
ESPACE PREVERT 1,2,789,93005
CHANTECLER,1,181,76035
CINEMA PARADISO THEATRE,1,199,14027
LES ARCADES 1,3,341,56007
NORMANDY 1,5,840,15014
LES ECRINS,1,97,38020
OUSTAL,1,222,31033
CLOS,1,160,38021
ARLETTY 1 (EX VOX),3,318,71014
CASINO 1,8,1593,89024
L'EMPIRE,1,244,21038
STUDIO 7,1,98,31036
VAUBAN 1,2,451,89025
CAMEO 1,2,269,59036
CAPITOLE 1,4,1342,84007
VOX 1,2,379,84007
UTOPIA REPUBLIQUE (UTOPIA 5),1,139,84007
UTOPIA MANUTENTION 1,4,456,84007
PATHE CAP SUD 1,10,2054,84007
LE FAMILIA,1,193,62065
STAR 1,3,617,50025
CASINO,1,336,9032
CONCORDE,1,245,54039
LE MAINTENON,1,132,65059
REX 1,2,378,31042
THEATRE VICTOR HUGO,1,418,92007
CIN'HOCHE 1,2,288,93006
CASINO DU LAC,1,346,61483
CASINO 1,4,678,30028
SALLE MUNICIPALE CLAUDE PLAN,1,200,34022
FLANDRIA,1,145,59043
GRANDE SALLE,2,294,35012
CASINO,1,423,88029
CINECURE,1,139,34023
CINE TOILE,1,189,91045
CAMERA,1,524,83009
CINEMA DE BARAQUEVILLE,1,164,12056
SALLE COMMUNALE,1,90,47021
GOIS,1,299,85011
LE CLUB 1,2,239,16028
L'UBAYE 1,2,310,4019
LE REFUGE,1,136,65481
THEATRE MONTDORY,1,345,76057
REGAIN,1,100,30029
L ODEON,1,131,83012
COLISE SALLE 2 (EX-COLISEE 1),5,617,55029
SELECT,1,270,50031
LE VAGABOND SALLE 1,2,439,10033
CINE POLE SUD 1,8,1036,44009
STUDIO,2,344,2B033     
LE CELTIC,1,255,56010
STELLA CINE,1,203,49018
GULF STREAM 1,5,804,44055
STELLA CINEMA,1,182,25047
MELIES 1,3,444,14047
L'ATALANTE (EX UTOPIA),1,180,64102
L'AUTRE CINEMA 1,2,196,64102
VOG,1,154,33036
FOYER GEORGES BRASSENS,1,550,90009
SALLE DE LA CHAUDANNE,1,70,73034
ABC LE DUNOIS,1,200,45028
COUR DE L'ECOLE,1,0,7028
LES NOUVEAUX BLEUS,1,212,82013
BEAUMONT PALACE,1,353,95052
CAP CINEMA BEAUNE 1,6,898,21054
CINEMA JEANNE D'ARC,1,160,49023
THEATRE SAINT MARTIN,1,211,62100
ORON 1,2,374,38034
AGNES VARDA,1,205,60057
CINESPACE 1,10,1913,60057
STAR 2,3,297,34028
RENE LALOUX,2,374,33039
PATHE BELFORT 1,14,2973,90010
LUX,1,292,87011
VARIETES 1,2,390,1033
STUDIO,1,247,73038
IDEAL,1,252,69019
ARLEQUIN 1,3,434,1034
SITE DES ARCADES,1,0,42015
REX,1,171,67028
CINEMARINE 1,2,326,29006
FAMILIA,1,211,62108
CYRANO 1,7,998,24037
REX,1,268,27056
SALLE JEANNE D'ARC,1,218,44012
CINE 89,1,196,13014
PLAZZA VICTOR HUGO 1,3,337,25056
ESPACE PLANOISE,1,426,25056
PATHE BEAUX ARTS 1,8,1330,25056
FOYER RURAL,1,0,63038
SALLE POLYVALENTE,1,90,83018
TRISKEL,1,198,35024
LA BARBACANE,1,292,78062
MONCINE 1,9,1462,34032
ECRAN ELUARD 2,2,598,95063
ROYAL 03,3,458,64122
ROBERT DOISNEAU,1,184,46029
CENTRE CULTUREL,1,298,33051
ATLANTIC,1,350,40046
JEAN RENOIR SALLE DUNE,2,328,40046
MEGA CGR 1,15,2998,31069
REX,1,213,31069
ST LAURENT,1,285,44015
MAISON DES FETES,1,600,54076
BON ACCUEIL,1,274,54077
STUDIO REPUBLIQUE 1,2,253,36018
LOUIS DAQUIN2,2,424,93007
COLONNES 1,2,339,33056
SELECT,1,114,16046
MAISON POUR TOUS,1,150,43032
LE MONTEIL,1,300,33058
CINE VILAR,1,218,54079
LES LOBIS A,3,683,41018
CAP' CINE 1,9,1915,41018
L'AMBIANCE,1,117,14079
MAGIC 1,2,456,93008
L'ENTRACT,1,183,42313
LOUIS JOUVET,1,142,2095
JEAN RENOIR,1,300,92009
FORUM,1,114,94004
LE XENON,2,495,76114
LE CLAP,1,97,84019
SALLE ANDRE MALRAUX,1,324,93010
